date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,return
2015-11-03 00:00:00+00:00,62.8,62.975,61.65,62.0,8847718,50.8370984025,50.9787622913,49.9061642757,50.1894920534,8847718,0.0,1.0,0.0089974293068437
2015-11-04 00:00:00+00:00,61.96,63.0355,61.34,63.0355,9085091,50.157111736,51.0277375215,49.6552168154,51.0277375215,9085091,0.0,1.0,-0.0133757961777487
2015-11-05 00:00:00+00:00,62.28,62.46,62.01,62.17,6144979,50.4161542756,50.5618657041,50.1975871328,50.3271084026,6144979,0.0,1.0,0.005164622336379
2015-11-06 00:00:00+00:00,61.97,62.24,61.61,62.05,6616305,50.1652068153,50.3837739581,49.8737839582,50.2299674502,6616305,0.0,1.0,-0.0049775208741268
2015-11-09 00:00:00+00:00,61.34,61.97,60.86,61.75,6838326,49.8171184027,50.3287712327,49.4272876751,50.1500988159,6838326,0.2,1.0,-0.0069388413742937
2015-11-10 00:00:00+00:00,62.18,62.32,61.21,61.54,6689040,50.4993221761,50.613022805,49.7115392473,49.9795478725,6689040,0.0,1.0,0.0136941636785445
2015-11-11 00:00:00+00:00,61.87,62.57,61.81,62.55,4437315,50.2475564978,50.8160596423,50.1988276568,50.7998166953,4437315,0.0,1.0,-0.0049855258932397
2015-11-12 00:00:00+00:00,61.07,61.65,60.75,61.34,6793779,49.5978386184,50.068884081,49.3379514666,49.8171184027,6793779,0.0,1.0,-0.0129303378051517
2015-11-13 00:00:00+00:00,59.74,61.345,59.61,60.89,8821593,48.5176826439,49.8211791394,48.4121034885,49.4516520955,8821593,0.0,1.0,-0.0217782872114769
2015-11-16 00:00:00+00:00,60.68,60.69,59.5,59.5,8096603,49.2811011522,49.2892226257,48.3227672801,48.3227672801,8096603,0.0,1.0,0.01573485102129
2015-11-17 00:00:00+00:00,60.55,61.56,60.435,60.95,6649191,49.1755219968,49.9957908195,49.0821250516,49.5003809365,6649191,0.0,1.0,-0.0021423862886896
2015-11-18 00:00:00+00:00,61.8,61.865,60.33,60.66,7215255,50.1907061833,50.243495761,48.99684958,49.2648582052,7215255,0.0,1.0,0.0206440957874542
2015-11-19 00:00:00+00:00,61.46,61.93,61.39,61.8,5154366,49.9145760846,50.2962853387,49.8577257702,50.1907061833,5154366,0.0,1.0,-0.0055016181221191
2015-11-20 00:00:00+00:00,61.99,62.15,61.58,61.96,8302476,50.3450141797,50.4749577556,50.0120337665,50.3206497592,8302476,0.0,1.0,0.0086234949560717
2015-11-23 00:00:00+00:00,62.64,63.19,62.1,62.14,8493485,50.8729099567,51.3195909988,50.4343503881,50.4668362821,8493485,0.0,1.0,0.0104855621872652
2015-11-24 00:00:00+00:00,61.96,62.37,61.2199,62.06,7908223,50.3206497592,50.6536301724,49.719579506,50.4018644941,7908223,0.0,1.0,-0.0108556832697411
2015-11-25 00:00:00+00:00,62.19,62.5,62.0,62.05,4549913,50.5074436496,50.7592093278,50.3531356532,50.3937430207,4549913,0.0,1.0,0.0037120723061778
2015-11-27 00:00:00+00:00,62.18,62.38,61.93,62.19,2447902,50.4993221761,50.6617516459,50.2962853387,50.5074436496,2447902,0.0,1.0,-0.0001607975560263
2015-11-30 00:00:00+00:00,61.39,62.29,61.201,62.1,9863771,49.8577257702,50.5886583845,49.7042299211,50.4343503881,9863771,0.0,1.0,-0.0127050498551771
2015-12-01 00:00:00+00:00,61.37,61.68,60.51,61.08,10910838,49.8414828232,50.0932485014,49.1430361028,49.6059600919,10910838,0.0,1.0,-0.0003257859589276
2015-12-02 00:00:00+00:00,61.22,61.71,61.115,61.63,6587454,49.7196607208,50.1176129219,49.6343852491,50.052641134,6587454,0.0,1.0,-0.0024441909730522
2015-12-03 00:00:00+00:00,59.55,61.4468,59.15,61.37,12056103,48.3633746475,49.9038557396,48.0385157078,49.8414828232,12056103,0.0,1.0,-0.0272786671034663
2015-12-04 00:00:00+00:00,61.75,61.87,59.6,59.86,9100588,50.1500988159,50.2475564978,48.403982015,48.6151403258,9100588,0.0,1.0,0.0369437447536005
2015-12-07 00:00:00+00:00,61.89,61.95,61.44,61.75,5967809,50.2637994448,50.3125282857,49.8983331376,50.1500988159,5967809,0.0,1.0,0.0022672064778455
2015-12-08 00:00:00+00:00,62.16,62.43,61.52,61.69,6664947,50.4830792291,50.7023590134,49.9633049256,50.1013699749,6664947,0.0,1.0,0.0043625787688574
2015-12-09 00:00:00+00:00,61.18,62.539,60.82,61.71,8541573,49.6871748268,50.7908830744,49.3948017811,50.1176129219,8541573,0.0,1.0,-0.0157657657665464
